iter	Passed	Remaining
1392	135243	156020
1393	135336	155918
1394	135429	155816
1395	135518	155710
1396	135613	155610
1397	135706	155509
1398	135796	155404
1399	135891	155304
1400	135984	155202
1401	136079	155102
1402	136179	155009
1403	136271	154906
1404	136358	154798
1405	136447	154692
1406	136549	154600
1407	136639	154496
1408	136728	154389
1409	136817	154283
1410	136913	154185
1411	137005	154083
1412	137091	153973
1413	137183	153870
1414	137270	153761
1415	137362	153659
1416	137453	153555
1417	137539	153446
1418	137631	153343
1419	137726	153244
1420	137809	153132
1421	137903	153031
1422	138004	152939
1423	138100	152841
1424	138186	152732
1425	138274	152625
1426	138367	152524
1427	138454	152416
1428	138545	152312
1429	138642	152215
1430	138734	152112
1431	138823	152007
1432	138914	151904
1433	139016	151812
1434	139116	151719
1435	139210	151618
1436	139298	151512
1437	139388	151407
1438	139480	151306
1439	139570	151200
1440	139665	151102
1441	139754	150996
1442	139841	150889
1443	139938	150792
1444	140020	150679
1445	140115	150580
1446	140210	150481
1447	140295	150372
1448	140390	150272
1449	140483	150171
1450	140566	150059
1451	140663	149963
1452	140749	149855
1453	140843	149755
1454	140936	149654
1455	141027	149551
1456	141124	149453
1457	141211	149347
1458	141303	149245
1459	141394	149142
1460	141484	149038
1461	141571	148930
1462	141652	148817
1463	141749	148720
1464	141856	148634
1465	141945	148529
1466	142034	148424
1467	142122	148318
1468	142211	148213
1469	142303	148111
1470	142399	148013
1471	142488	147909
1472	142576	147803
1473	142670	147703
1474	142766	147606
1475	142854	147500
1476	142943	147395
1477	143037	147296
1478	143130	147194
1479	143226	147097
1480	143328	147006
1481	143414	146898
1482	143508	146798
1483	143603	146699
1484	143693	146596
1485	143790	146499
1486	143885	146401
1487	143978	146300
1488	144073	146202
1489	144167	146102
1490	144263	146005
1491	144358	145906
1492	144451	145805
1493	144541	145702
1494	144630	145597
1495	144723	145497
1496	144812	145393
1497	144905	145292
1498	144997	145190
1499	145082	145082
1500	145166	144973
1501	145259	144872
1502	145348	144767
1503	145437	144664
1504	145525	144559
1505	145618	144458
1506	145706	144353
1507	145792	144245
1508	145885	144145
1509	145980	144047
1510	146075	143948
1511	146166	143846
1512	146258	143744
1513	146348	143642
1514	146442	143542
1515	146527	143434
1516	146627	143340
1517	146715	143235
1518	146811	143138
1519	146907	143041
1520	146993	142934
1521	147083	142831
1522	147171	142726
1523	147264	142626
1524	147353	142522
1525	147448	142423
1526	147537	142320
1527	147626	142216
1528	147721	142118
1529	147815	142018
1530	147904	141914
1531	147990	141808
1532	148084	141709
1533	148179	141610
1534	148267	141506
1535	148367	141412
1536	148455	141308
1537	148550	141209
1538	148641	141108
1539	148731	141005
1540	148824	140905
1541	148928	140815
1542	149023	140717
1543	149110	140612
1544	149200	140509
1545	149292	140407
1546	149389	140312
1547	149494	140223
1548	149590	140126
1549	149679	140022
1550	149767	139918
1551	149854	139812
1552	149946	139712
1553	150041	139614
1554	150136	139515
1555	150232	139419
1556	150332	139325
1557	150423	139223
1558	150514	139122
1559	150598	139013
1560	150694	138916
1561	150791	138821
1562	150878	138715
1563	150970	138614
1564	151062	138513
1565	151151	138411
1566	151252	138318
1567	151341	138214
1568	151430	138112
1569	151525	138013
1570	151615	137911
1571	151707	137810
1572	151799	137710
1573	151889	137607
1574	151978	137504
1575	152066	137399
1576	152159	137300
1577	152249	137198
1578	152342	137098
1579	152432	136996
1580	152521	136892
1581	152608	136788
1582	152693	136681
1583	152792	136587
1584	152878	136481
1585	152978	136388
1586	153074	136290
1587	153163	136188
1588	153257	136089
1589	153355	135994
1590	153438	135886
1591	153531	135786
1592	153627	135690
1593	153722	135592
1594	153808	135486
1595	153907	135392
1596	154008	135299
1597	154092	135192
1598	154181	135089
1599	154269	134985
1600	154365	134889
1601	154459	134790
1602	154554	134693
1603	154650	134595
1604	154740	134493
1605	154837	134398
1606	154927	134296
1607	155009	134187
1608	155110	134094
1609	155193	133986
1610	155285	133886
1611	155372	133782
1612	155465	133682
1613	155561	133585
1614	155650	133483
1615	155737	133379
1616	155822	133272
1617	155917	133175
1618	156007	133073
1619	156099	132973
1620	156192	132874
1621	156278	132769
1622	156371	132670
1623	156464	132571
1624	156553	132468
1625	156644	132367
1626	156738	132268
1627	156827	132166
1628	156934	132079
1629	157020	131973
1630	157118	131879
1631	157201	131771
1632	157290	131669
1633	157388	131574
1634	157469	131465
1635	157559	131363
1636	157654	131266
1637	157743	131164
1638	157834	131062
1639	157923	130960
1640	158024	130868
1641	158117	130769
1642	158208	130668
1643	158305	130573
1644	158397	130473
1645	158483	130368
1646	158576	130269
1647	158662	130164
1648	158748	130059
1649	158835	129956
1650	158938	129865
1651	159025	129761
1652	159119	129663
1653	159205	129559
1654	159301	129462
1655	159398	129366
1656	159491	129267
1657	159586	129170
1658	159676	129069
1659	159766	128968
